,movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
485,The Assassination of Jesse James by the Coward Robert Ford,160,68.0,3900000.0,17,1,1
486,Zodiac,157,78.0,33050000.0,14,0,0
487,Days of Glory,120,82.0,320000.0,1,0,1
488,Paradise Now,90,71.0,1450000.0,3,1,1
489,Across the Universe,133,56.0,24340000.0,2,1,1
490,Scott Pilgrim vs. the World,112,69.0,31490000.0,11,0,0
491,Sunshine,107,64.0,3680000.0,2,0,0
492,Hancock,92,49.0,227950000.0,1,0,0
493,Puss in Boots,90,65.0,149230000.0,5,1,1
494,Little Miss Sunshine,101,80.0,59890000.0,43,2,1
495,Pirates of the Caribbean: At World's End,169,50.0,309400000.0,9,0,1
496,Babel,143,69.0,34300000.0,50,7,1
497,La Vie en Rose,140,66.0,10299782.0,22,1,1
498,Blood Diamond,143,64.0,57370000.0,6,1,1
499,Hostel,94,55.0,47280000.0,0,0,0
500,Death Race,105,43.0,36060000.0,0,0,0
501,Gone Baby Gone,114,72.0,20300000.0,14,1,1
502,The Good German,105,49.0,1300000.0,2,0,1
503,Lady in the Water,110,36.0,42270000.0,0,0,0
504,Deja Vu,126,59.0,64030000.0,0,0,0
505,The Hills Have Eyes,107,52.0,41780000.0,0,0,0
506,Inside Man,129,76.0,88500000.0,0,0,0
507,Life of Pi,127,79.0,124980000.0,44,3,1
508,The Pursuit of Happyness,117,64.0,162590000.0,6,2,1
509,She's the Man,105,45.0,1020000.0,0,0,0
510,The Last King of Scotland,123,74.0,17605861.0,19,1,1
511,Australia,165,53.0,49550000.0,3,0,1
512,The Equalizer,132,57.0,101530000.0,1,0,0
513,John Tucker Must Die,89,41.0,41010000.0,0,0,0
514,Grandma's Boy,94,33.0,6090000.0,0,0,0
515,Pan's Labyrinth,118,98.0,37620000.0,36,1,1
516,After the Wedding,120,78.0,1530000.0,0,0,1
517,The Holiday,138,52.0,63220000.0,0,0,0
518,Captain America: The First Avenger,124,66.0,176640000.0,2,0,0
519,The Devil Wears Prada,109,62.0,124730000.0,22,3,1
520,X-Men Origins: Wolverine,107,40.0,179880000.0,1,0,0
521,The Fall,117,64.0,2280000.0,4,0,0
522,Enchanted,107,75.0,127710000.0,8,2,1
523,Black Snake Moan,116,52.0,9400000.0,0,0,0
524,Grindhouse,191,77.0,25030000.0,0,0,0
525,Step Up,104,48.0,65270000.0,0,0,0
526,The Fast and the Furious: Tokyo Drift,104,46.0,62490000.0,0,0,0
527,Michael Clayton,119,82.0,49024969.0,36,4,1
528,Notes on a Scandal,92,73.0,17510000.0,22,3,1
529,The Other Boleyn Girl,115,50.0,26810000.0,0,0,0
530,Juno,96,81.0,143490000.0,35,3,1
531,Half Nelson,106,85.0,2690000.0,15,0,1
532,Tsotsi,94,70.0,2910000.0,3,1,1
533,The Dark Knight,152,82.0,533320000.0,65,1,1
534,There Will Be Blood,158,92.0,40220000.0,63,2,1
535,Ex Machina,108,78.0,25440000.0,33,1,1
536,Apocalypto,139,68.0,50860000.0,5,1,1
537,Charlie Wilson's War,102,69.0,66640000.0,10,5,1
538,Penelope,104,48.0,10010000.0,0,0,0
539,The Mechanic,93,49.0,29110000.0,0,0,0
540,Prince of Persia: The Sands of Time,116,50.0,90760000.0,1,0,0
541,Curse of the Golden Flower,114,70.0,6570000.0,4,0,1
542,United 93,111,90.0,31470000.0,26,0,1
543,"Hail, Caesar!",106,72.0,29997095.0,6,0,1
544,Smokin' Aces,108,45.0,35640000.0,0,0,0
545,Norbit,102,27.0,95320000.0,0,0,1
546,Unstoppable,98,69.0,81560000.0,1,0,1
547,Extremely Loud & Incredibly Close,129,46.0,31836745.0,7,0,1
548,Night at the Museum,108,48.0,250860000.0,0,0,0
549,No Country for Old Men,122,91.0,74270000.0,60,4,1
550,In the Valley of Elah,121,65.0,6780000.0,2,0,1
551,The Tree of Life,139,85.0,13300000.0,36,0,1
552,Knocked Up,129,85.0,148730000.0,4,0,0
553,Ant-Man,117,64.0,180190000.0,4,0,0
554,Rocky Balboa,102,63.0,70270000.0,0,0,0
555,Nancy Drew,99,53.0,25580000.0,0,0,0
556,I Am Legend,101,65.0,256390000.0,2,0,0
557,The Croods,98,55.0,187170000.0,5,1,1
558,The Prestige,130,66.0,53080000.0,10,0,1
559,The Strangers,86,47.0,52530000.0,0,0,0
560,The Secret of Kells,75,81.0,690000.0,0,0,1
561,Beerfest,110,46.0,19180000.0,0,0,0
562,Stardust,127,66.0,38350000.0,0,0,0
563,Disturbia,105,62.0,80050000.0,1,0,0
564,Fracture,113,68.0,39000000.0,0,0,0
565,12,159,72.0,130000.0,0,0,1
566,Chapter 27,84,32.0,60000.0,0,0,0
567,Jumper,88,35.0,80170000.0,0,0,0
568,Venus,95,82.0,3340000.0,9,1,1
569,Silence,161,79.0,860000.0,8,0,1
570,Away from Her,110,88.0,15830000.0,14,1,1
571,Wanted,110,64.0,134570000.0,2,0,1
572,Ocean's Thirteen,122,62.0,117140000.0,2,0,0
573,Vicky Cristina Barcelona,96,70.0,23210000.0,18,4,1
574,Letters from Iwo Jima,141,91.0,13753931.0,12,2,1
575,Avatar,162,83.0,760510000.0,46,4,1
576,Aliens vs. Predator: Requiem,94,29.0,41800000.0,0,0,0
577,Beaufort,131,,100000.0,0,0,1
578,Friday the 13th,97,34.0,65000000.0,0,0,0
579,Love & Other Drugs,112,55.0,32360000.0,2,2,0
580,Into the Wild,148,73.0,18350000.0,25,2,1
581,Music and Lyrics,96,59.0,50560000.0,0,0,0
582,Body of Lies,128,57.0,39380000.0,1,0,0
583,American Gangster,157,76.0,130130000.0,14,3,1
584,The Baader Meinhof Complex,150,76.0,480000.0,2,1,1
585,Eastern Promises,100,82.0,17110000.0,15,3,1
586,Fool's Gold,112,29.0,70220000.0,0,0,0
587,Man of Steel,143,55.0,291020000.0,4,0,0
588,The Illusionist,80,82.0,2230000.0,8,1,1
589,The Savages,113,85.0,6610000.0,6,1,1
590,Drive,100,78.0,35050000.0,44,1,1
591,The Princess and the Frog,97,73.0,104370000.0,10,1,1
592,In Bruges,107,67.0,7760000.0,17,3,1
593,The Wolfman,103,43.0,61940000.0,0,0,1
594,Atonement,123,85.0,50920000.0,55,7,1
595,The Boxtrolls,96,61.0,50810000.0,10,1,1
596,Dallas Buyers Club,117,84.0,27300000.0,26,2,1
597,The Messenger,113,77.0,70000.0,10,1,1
598,Jack Reacher,130,50.0,58680000.0,0,0,0
599,Death at a Funeral,87,67.0,8580000.0,0,0,0
600,Mamma Mia!,108,51.0,143700000.0,12,2,0
601,Star Trek,127,82.0,257700000.0,22,0,1
602,Forgetting Sarah Marshall,111,67.0,62880000.0,4,0,0
603,The Incredible Hulk,112,61.0,134520000.0,0,0,0
604,Clash of the Titans,106,39.0,163190000.0,0,0,0
605,Thor,115,57.0,181020000.0,2,0,0
606,Lars and the Real Girl,106,70.0,5950000.0,5,1,1
607,Angels & Demons,138,48.0,133380000.0,1,0,0
608,Funny Games,111,44.0,1290000.0,0,0,0
609,Persepolis,96,90.0,4440000.0,10,1,1
610,Bright Star,119,81.0,4440000.0,6,0,1
611,The Danish Girl,119,66.0,12710000.0,25,3,1
612,The Counterfeiters,98,78.0,5480000.0,1,0,1
613,Percy Jackson & the Olympians: The Lightning Thief,118,47.0,88760000.0,0,0,0
614,Seven Pounds,123,36.0,69950000.0,0,0,0
615,The Book Thief,131,53.0,21480000.0,3,1,1
616,Conan the Barbarian,113,36.0,21270000.0,0,0,0
617,Interstellar,169,74.0,187990000.0,24,1,1
618,World War Z,116,63.0,202350000.0,3,0,0
619,Valentine's Day,125,34.0,110480000.0,1,0,0
620,Shooter,124,53.0,46980000.0,0,0,0
621,Changeling,141,63.0,35710000.0,20,2,1
622,The Last Station,112,76.0,6620000.0,5,2,1
623,Superbad,113,76.0,121460000.0,5,0,0
624,Quantum of Solace,106,58.0,168370000.0,8,0,0
625,Godzilla,123,62.0,200660000.0,0,0,0
626,"Definitely, Maybe",112,59.0,31970000.0,0,0,0
627,Underworld: Rise of the Lycans,92,44.0,45800000.0,0,0,0
628,Step Brothers,98,51.0,100470000.0,0,0,0
629,The Town,125,74.0,92170000.0,14,1,1
630,The Kids Are All Right,106,86.0,20800000.0,35,4,1
631,The Last House on the Left,110,42.0,32720000.0,0,0,0
632,The Avengers,143,69.0,623280000.0,16,0,1
633,The House Bunny,97,55.0,48240000.0,0,0,0
634,The Visitor,104,79.0,9420000.0,7,0,1
635,The Duchess,110,62.0,13820000.0,8,1,1
636,Frost/Nixon,122,80.0,18593156.0,37,5,1
637,Nine,118,49.0,19670000.0,23,5,1
638,The Blind Side,129,53.0,255950000.0,6,1,1
639,Katyn,121,81.0,120000.0,1,0,1
640,The Mist,126,58.0,25590000.0,0,0,0
641,Burn After Reading,96,63.0,60340000.0,8,2,0
642,The Hurt Locker,131,94.0,15700000.0,65,3,1
643,The Switch,101,52.0,27760000.0,0,0,0
644,How to Train Your Dragon,98,74.0,217390000.0,12,1,1
645,The Road,111,64.0,60000.0,7,0,0
646,Bride Wars,89,24.0,58720000.0,1,0,0
647,The Hobbit: An Unexpected Journey,169,58.0,303000000.0,15,0,1
648,Once,85,88.0,9440000.0,9,0,1
649,Pineapple Express,111,64.0,87340000.0,1,1,0
650,WALL·E,98,94.0,223810000.0,38,2,1
651,The Boy in the Striped Pajamas,94,55.0,9030000.0,1,0,0
652,Unthinkable,97,,,0,0,0
653,Doubt,104,68.0,33420000.0,35,5,1
654,Harry Potter and the Deathly Hallows: Part 1,146,65.0,294980000.0,9,0,1
655,Precious,110,79.0,47540000.0,37,3,1
656,Rabbit Hole,91,76.0,2220000.0,4,1,1
657,The Last Airbender,103,20.0,131560000.0,0,0,0
658,Tropic Thunder,107,71.0,110420000.0,14,2,1
659,Salt,100,65.0,118310000.0,1,0,1
660,Source Code,93,74.0,54700000.0,0,0,0
661,Black Swan,108,79.0,106950000.0,74,4,1
662,The Amazing Spider-Man,136,66.0,262030000.0,7,0,0
663,Paris 36,120,40.0,850000.0,0,0,1
664,The Happening,91,34.0,64510000.0,0,0,0
665,Robin Hood,140,53.0,105220000.0,5,0,0
666,Revolutionary Road,119,69.0,22880000.0,20,4,1
667,You Don't Mess with the Zohan,113,54.0,100020000.0,0,0,0
668,The Young Victoria,105,64.0,10990000.0,8,1,1
669,"Angus, Thongs and Perfect Snogging",100,,,1,0,0
670,The Fighter,116,79.0,93570000.0,43,6,1
671,Hugo,126,83.0,73820000.0,59,3,1
672,The Day the Earth Stood Still,104,40.0,79360000.0,0,0,0
673,17 Again,102,48.0,64150000.0,1,0,0
674,Hitchcock,98,55.0,6000000.0,5,1,1
675,The Reader,124,58.0,34180000.0,22,4,1
676,Frozen River,97,82.0,2510000.0,7,0,1
677,Sucker Punch,110,33.0,36380000.0,0,0,0
678,The Adventures of Tintin,107,68.0,77560000.0,11,1,1
679,Valkyrie,121,56.0,83080000.0,0,0,0
680,Sherlock Holmes,128,57.0,209020000.0,4,1,1
681,Hanna,111,65.0,40250000.0,6,0,0
682,The Wolf of Wall Street,180,75.0,116870000.0,39,2,1
683,Sex and the City,145,53.0,152640000.0,3,0,0
684,He's Just Not That Into You,129,47.0,93950000.0,1,0,0
685,Zack and Miri Make a Porno,101,56.0,31450000.0,0,0,0
686,The Iron Lady,105,54.0,29959436.0,16,1,1
687,Slumdog Millionaire,120,86.0,141320000.0,64,4,1
688,Fast & Furious,107,45.0,155020000.0,0,0,0
689,Milk,128,84.0,31838002.0,55,1,1
690,Alice in Wonderland,108,53.0,334190000.0,21,3,1
691,Child 44,137,41.0,1210000.0,0,0,0
692,The Sisterhood of the Traveling Pants 2,119,63.0,44090000.0,0,0,0
693,A Serious Man,106,79.0,9190000.0,23,1,1
694,Selma,128,89.0,52066000.0,20,4,1
695,500 Days of Summer,95,76.0,32390000.0,17,2,0
696,Never Back Down,110,39.0,24850000.0,0,0,0
697,The Way Back,133,66.0,2680000.0,1,0,1
698,Il Divo,110,81.0,240000.0,0,0,1
699,Argo,120,86.0,136020000.0,60,5,1
700,Death Proof,113,,,0,0,0
701,Hachi: A Dog's Tale,93,,,0,0,0
702,Secretariat,123,61.0,59700000.0,0,0,0
703,RocknRolla,114,53.0,5690000.0,0,0,0
704,The Descendants,115,84.0,82620000.0,48,5,1
705,Defiance,137,58.0,28620000.0,1,1,1
706,Coco Before Chanel,105,65.0,6110000.0,7,0,1
707,The Book of Eli,118,53.0,94820000.0,0,0,0
708,The Proposal,108,48.0,163950000.0,5,1,0
709,Silver Linings Playbook,122,81.0,132090000.0,44,4,1
710,Happy-Go-Lucky,118,84.0,3490000.0,22,2,1
711,G.I. Joe: The Rise of Cobra,118,32.0,150170000.0,0,0,0
712,Up,96,88.0,292980000.0,32,2,1
713,The Imaginarium of Doctor Parnassus,123,65.0,7690000.0,5,0,1
714,Life as We Know It,114,39.0,53360000.0,0,0,0
715,Transformers: Revenge of the Fallen,150,35.0,402080000.0,2,0,1
716,Invictus,134,74.0,37480000.0,11,3,1
717,Cloverfield,85,64.0,80030000.0,0,0,0
718,Boyhood,165,100.0,25360000.0,68,5,1
719,The Class,128,92.0,3770000.0,4,0,1
720,Departures,130,68.0,1540000.0,0,0,1
721,Skyfall,143,81.0,304360000.0,39,1,1
722,Ajami,124,82.0,620000.0,0,0,1
723,Dark Shadows,113,55.0,79710000.0,1,0,0
724,My Sister's Keeper,109,51.0,49190000.0,0,0,0
725,Rachel Getting Married,113,82.0,12800000.0,20,1,1
726,Lone Survivor,121,60.0,125070000.0,4,0,1
727,Dragonball: Evolution,85,45.0,9350000.0,0,0,0
728,Twilight,122,56.0,191450000.0,4,0,0
729,Foxcatcher,134,81.0,12100000.0,19,3,1
730,TRON: Legacy,125,49.0,172050000.0,8,0,1
731,The Hangover,100,73.0,277310000.0,8,1,0
732,Blue Valentine,112,81.0,9700000.0,11,2,1
733,The Ides of March,101,67.0,40960000.0,10,4,1
734,The Wrestler,109,81.0,26240000.0,30,3,1
735,Burlesque,119,47.0,39440000.0,5,3,0
736,Drag Me to Hell,99,83.0,42060000.0,0,0,0
737,Shutter Island,138,63.0,127970000.0,6,0,0
738,Jennifer's Body,102,47.0,16200000.0,0,0,0
739,Green Lantern,114,39.0,116590000.0,0,0,0
740,Julie & Julia,118,66.0,94130000.0,17,2,1
741,District 9,112,81.0,115650000.0,40,1,1
742,Frankenweenie,87,74.0,35290000.0,11,1,1
743,Orphan,123,42.0,41570000.0,0,0,0
744,The White Ribbon,144,82.0,2220000.0,14,1,1
745,Public Enemies,140,70.0,97030000.0,3,0,0
746,"I Love You, Man",105,70.0,71350000.0,1,0,0
747,The Karate Kid,140,61.0,176590000.0,2,0,0
748,Zombieland,88,73.0,75590000.0,1,0,0
749,Biutiful,148,58.0,5100000.0,6,1,1
750,The Hobbit: The Desolation of Smaug,161,66.0,258360000.0,17,0,1
751,Demolition,101,49.0,1820000.0,0,0,0
752,Revanche,121,84.0,,2,0,1
753,An Education,100,85.0,12570000.0,36,1,1
754,All Good Things,101,57.0,580000.0,0,0,0
755,10 Cloverfield Lane,104,76.0,71900000.0,5,0,0
756,The Lincoln Lawyer,118,63.0,57980000.0,0,0,0
757,2012,158,49.0,166110000.0,2,0,0
758,Rango,107,75.0,123210000.0,14,1,1
759,Up in the Air,109,83.0,83810000.0,67,6,1
760,The Bourne Legacy,135,61.0,113170000.0,1,0,0
761,Law Abiding Citizen,109,34.0,73340000.0,0,0,0
762,Harry Potter and the Deathly Hallows: Part 2,130,87.0,380960000.0,26,0,1
763,The Muppets,103,75.0,88630000.0,11,0,1
764,Ouija,89,38.0,50820000.0,0,0,0
765,Gran Torino,116,72.0,148090000.0,5,1,0
766,The Milk of Sorrow,94,68.0,10000.0,0,0,1
767,Moneyball,133,87.0,75610000.0,26,4,1
768,The Lone Ranger,150,37.0,89290000.0,0,0,1
769,Doctor Strange,115,72.0,231910330.0,16,0,1
770,Hereafter,129,56.0,32740000.0,0,0,1
771,Lawless,116,58.0,37400000.0,1,0,0
772,Cars 2,106,57.0,191450000.0,3,1,0
773,Leap Year,100,33.0,10000.0,0,0,0
774,Brave,93,69.0,237280000.0,11,1,1
775,Limitless,105,59.0,79240000.0,2,0,0
776,Resident Evil: Afterlife,97,37.0,60130000.0,1,0,0
777,I Am Love,120,79.0,5000000.0,7,1,1
778,In the Loop,106,83.0,2380000.0,17,0,1
779,Iron Man 2,124,57.0,312060000.0,4,0,1
780,Mission: Impossible - Ghost Protocol,133,73.0,209360000.0,3,0,0
781,Outside the Law,138,59.0,,0,0,1
782,Jane Eyre,120,76.0,11230000.0,5,0,1
783,It's Complicated,120,57.0,112700000.0,6,3,0
784,21 Jump Street,110,69.0,138450000.0,3,0,0
785,A Prophet,155,90.0,2080000.0,13,1,1
786,Chico & Rita,94,76.0,250000.0,0,0,1
787,We Need to Talk About Kevin,112,68.0,1740000.0,20,1,0
788,This Is the End,107,67.0,101470000.0,2,0,0
789,RED,111,60.0,90360000.0,2,1,0
790,Kick-Ass,117,66.0,48040000.0,4,0,0
791,300: Rise of an Empire,102,48.0,106370000.0,0,0,0
792,Immortals,110,46.0,83500000.0,0,0,0
793,Incendies,130,80.0,6860000.0,4,0,1
794,The Cabin in the Woods,95,72.0,42040000.0,6,0,0
795,The Twilight Saga: New Moon,130,44.0,296620000.0,2,0,0
796,Sex and the City 2,146,27.0,95330000.0,1,0,0
797,Crazy Heart,112,83.0,39462438.0,20,2,1
798,Hercules,98,47.0,72660000.0,0,0,0
799,X-Men: First Class,132,65.0,146410000.0,5,0,0
800,The Tempest,110,43.0,260000.0,1,0,1
801,Looper,119,84.0,66470000.0,12,0,0
802,A Royal Affair,137,73.0,1550000.0,3,1,1
803,Easy A,92,72.0,58400000.0,10,1,0
804,The Social Network,120,95.0,96920000.0,71,6,1
805,Teenage Mutant Ninja Turtles,101,31.0,190870000.0,0,0,0
806,Warrior,140,71.0,13650000.0,5,0,1
807,Pirates of the Caribbean: On Stranger Tides,136,45.0,241060000.0,5,0,0
808,Iron Man 3,130,62.0,408990000.0,10,0,1
809,Kung Fu Panda 2,90,67.0,165230000.0,7,0,1
810,The Secret in Their Eyes,129,80.0,20170000.0,3,0,1
811,50/50,100,72.0,34960000.0,6,2,0
812,Animal Kingdom,113,83.0,1040000.0,10,1,1
813,A Single Man,99,77.0,9170000.0,20,3,1
814,Rise of the Planet of the Apes,105,68.0,176740000.0,6,0,1
815,Gangster Squad,113,40.0,46000000.0,0,0,0
816,August: Osage County,121,58.0,37740000.0,15,2,1
817,Despicable Me,95,72.0,251500000.0,8,1,0
818,The Twilight Saga: Breaking Dawn - Part 1,117,45.0,281280000.0,2,0,0
819,The Twilight Saga: Eclipse,124,58.0,300520000.0,5,0,0
820,Movie 43,94,18.0,8830000.0,0,0,0
821,Never Let Me Go,103,69.0,2410000.0,1,0,0
822,Guy and Madeline on a Park Bench,82,84.0,30000.0,0,0,0
823,In a Better World,119,65.0,1010000.0,1,1,1
824,Terminator Genisys,126,38.0,89730000.0,0,0,0
825,Tinker Tailor Soldier Spy,122,85.0,24100000.0,29,0,1
826,The Great Gatsby,143,55.0,144810000.0,14,0,1
827,Dredd,95,59.0,13400000.0,0,0,0
828,The Dark Knight Rises,164,78.0,448130000.0,23,0,0
829,Jack the Giant Slayer,114,51.0,65170000.0,0,0,0
830,If I Stay,107,46.0,50460000.0,1,0,0
831,Passengers,116,41.0,90870000.0,1,0,1
832,Black Mass,123,68.0,62560000.0,6,0,0
833,Cloud Atlas,172,55.0,27100000.0,13,1,0
834,Inception,148,74.0,292570000.0,60,4,1
835,Grown Ups,102,30.0,162000000.0,1,0,0
836,Dogtooth,94,73.0,110000.0,3,0,1
837,The Other Guys,107,64.0,119220000.0,1,0,0
838,Suicide Squad,123,40.0,325020000.0,4,0,1
839,Total Recall,118,43.0,58880000.0,1,0,0
840,We Bought a Zoo,124,58.0,75620000.0,0,0,0
841,In the Heart of the Sea,122,47.0,24990000.0,0,0,0
842,The Hunger Games,142,68.0,408000000.0,13,1,0
843,Mad Max: Fury Road,120,90.0,153630000.0,73,2,1
844,Prisoners,153,74.0,60960000.0,4,0,1
845,Journey 2: The Mysterious Island,94,41.0,103810000.0,0,0,0
846,Straight Outta Compton,147,72.0,161030000.0,8,0,1
847,Transformers: Dark of the Moon,154,42.0,352360000.0,7,0,1
848,Winter's Bone,100,90.0,6531491.0,18,1,1
849,True Grit,110,80.0,171030000.0,53,0,1
850,Remember Me,113,40.0,19060000.0,0,0,0
851,Star Trek Into Darkness,132,72.0,228760000.0,11,0,1
852,No Strings Attached,108,50.0,70630000.0,0,0,0
853,In Darkness,145,74.0,1040000.0,1,0,1
854,Barney's Version,134,67.0,7500000.0,3,1,1
855,Predators,107,51.0,52000000.0,0,0,0
856,Hansel & Gretel: Witch Hunters,88,21.0,55680000.0,1,0,0
857,The Pirates! Band of Misfits,88,,31050000.0,0,0,1
858,Deadpool,108,65.0,363020000.0,15,2,0
859,Another Year,129,80.0,3210000.0,11,0,1
860,Rio,96,63.0,143620000.0,2,0,1
861,Battleship,131,41.0,65170000.0,0,0,0
862,Under the Skin,108,78.0,2610000.0,17,0,0
863,Footnote,107,82.0,2010000.0,1,0,1
864,Prometheus,124,65.0,126460000.0,4,0,1
865,The Help,146,62.0,169710000.0,44,5,1
866,Gravity,91,96.0,274080000.0,72,4,1
867,The Conjuring,112,68.0,137390000.0,4,0,0
868,The Grandmaster,130,73.0,6590000.0,4,0,1
869,I Am Number Four,109,36.0,55090000.0,1,0,0
870,Bridesmaids,125,75.0,169080000.0,24,2,1
871,Oblivion,124,54.0,89020000.0,1,0,0
872,The Greatest Showman,105,48.0,126530000.0,6,3,1
873,The Change-Up,112,39.0,37040000.0,0,0,0
874,The Lego Movie,100,83.0,257760000.0,21,1,1
875,Underworld: Awakening,88,39.0,62320000.0,0,0,0
876,Horrible Bosses,98,57.0,117530000.0,1,0,0
877,The King's Speech,118,88.0,138800000.0,73,7,1
878,Sherlock Holmes: A Game of Shadows,129,48.0,186830000.0,0,0,0
879,Anonymous,130,50.0,4460000.0,2,0,1
880,Exodus: Gods and Kings,150,52.0,65010000.0,0,0,0
881,Daddy's Home,96,42.0,150320000.0,0,0,0
882,Beginners,105,81.0,5780000.0,11,1,1
883,Elysium,109,61.0,93050000.0,1,0,0
884,Captain Phillips,134,83.0,107100000.0,49,4,1
885,W.E.,119,37.0,580000.0,3,2,1
886,The Mortal Instruments: City of Bones,130,33.0,31170000.0,0,0,0
887,127 Hours,94,82.0,18330000.0,44,3,1
888,Another Earth,92,66.0,1320000.0,0,0,0
889,A Better Life,98,64.0,1750000.0,1,0,1
890,Country Strong,117,45.0,20220000.0,2,1,1
891,Beautiful Creatures,124,52.0,19450000.0,1,0,0
892,The Master,144,86.0,16380000.0,58,3,1
893,One Day,107,48.0,13770000.0,0,0,0
894,Just Go with It,117,33.0,103030000.0,0,0,0
895,The Girl with the Dragon Tattoo,158,71.0,102520000.0,23,2,1
896,War Horse,146,72.0,79883359.0,23,2,1
897,"Crazy, Stupid, Love.",118,68.0,84240000.0,4,1,0
898,Maleficent,97,56.0,241410000.0,8,0,1
899,Warm Bodies,98,59.0,66360000.0,0,0,0
900,Insidious,103,52.0,53990000.0,0,0,0
901,Fast Five,131,67.0,209810000.0,2,0,0
902,This Means War,103,31.0,54760000.0,0,0,0
903,The Big Short,130,81.0,70240000.0,32,4,1
904,The Drop,106,69.0,10720000.0,1,0,0
905,Albert Nobbs,113,57.0,3010000.0,12,3,1
906,Amour,127,94.0,225377.0,30,1,1
907,Midnight in Paris,94,81.0,56820000.0,20,4,1
908,The Vow,104,43.0,125010000.0,2,0,0
909,Kon-Tiki,118,62.0,1510000.0,1,1,1
910,Savages,131,59.0,47310000.0,0,0,0
911,Margin Call,107,76.0,5350000.0,3,0,1
912,Jupiter Ascending,127,40.0,47380000.0,1,0,0
913,Jackie,100,81.0,9250000.0,37,1,1
914,ParaNorman,92,72.0,55990000.0,9,0,1
915,Edge of Tomorrow,113,71.0,100190000.0,9,0,0
916,Friends with Benefits,109,63.0,55800000.0,1,0,0
917,Project X,88,48.0,54720000.0,0,0,0
918,In Time,109,53.0,37550000.0,0,0,0
919,Ted,106,62.0,218630000.0,8,0,1
920,The Man from U.N.C.L.E.,116,56.0,45430000.0,0,0,0
921,How to Train Your Dragon 2,102,76.0,177000000.0,12,1,1
922,The Impossible,114,73.0,19000000.0,12,1,1
923,Super 8,112,72.0,126980000.0,8,0,0
924,Kick-Ass 2,103,41.0,28750000.0,0,0,0
925,My Week with Marilyn,99,65.0,14600000.0,29,3,1
926,The Age of Adaline,112,51.0,42480000.0,1,0,0
927,The Artist,100,89.0,44667095.0,72,6,1
928,The Perks of Being a Wallflower,102,67.0,17740000.0,12,0,0
929,Cinderella,105,67.0,201150000.0,8,0,1
930,The Revenant,156,76.0,183640000.0,53,4,1
931,Pacific Rim,131,64.0,101790000.0,8,0,0
932,Mirror Mirror,106,46.0,64930000.0,3,0,1
933,Now You See Me,115,50.0,117700000.0,1,0,0
934,The Twilight Saga: Breaking Dawn - Part 2,115,52.0,292300000.0,3,0,0
935,A Cat in Paris,70,63.0,290000.0,0,0,1
936,Trolls,92,56.0,151290000.0,7,1,1
937,Vampire Academy,104,30.0,7790000.0,0,0,0
938,Despicable Me 2,98,62.0,368050000.0,12,1,1
939,The Invisible Woman,111,75.0,1230000.0,1,0,1
940,Snowpiercer,126,84.0,4560000.0,10,0,0
941,Les Misérables,158,63.0,148780000.0,63,4,1
942,We're the Millers,110,44.0,150370000.0,2,0,0
943,Ender's Game,114,51.0,61660000.0,1,0,0
944,Snow White and the Huntsman,127,57.0,155110000.0,5,0,1
945,Secret in Their Eyes,111,45.0,,0,0,0
946,Moonrise Kingdom,94,84.0,45510000.0,35,1,1
947,Like Crazy,86,71.0,3390000.0,3,0,0
948,This Is 40,134,59.0,67520000.0,4,0,0
949,The First Time,95,55.0,17061.0,0,0,0
950,Wreck-It Ralph,101,72.0,189410000.0,12,1,1
951,Anna Karenina,129,63.0,12800000.0,16,1,1
952,The Maze Runner,113,57.0,102410000.0,1,0,0
953,Zero Dark Thirty,157,95.0,95720000.0,55,4,1
954,Inherent Vice,148,81.0,8090000.0,21,1,1
955,Southpaw,124,57.0,52420000.0,0,0,0
956,Her,126,90.0,25560000.0,43,3,1
957,American Hustle,138,90.0,150120000.0,67,7,1
958,Unbroken,137,59.0,115600000.0,7,0,1
959,Ernest & Celestine,80,86.0,70000.0,2,0,1
960,The Place Beyond the Pines,140,68.0,21380000.0,0,0,0
961,War Witch,90,84.0,40000.0,0,0,1
962,Nebraska,115,,17613460.0,43,5,1
963,Bullhead,129,68.0,40000.0,0,0,1
964,A Separation,123,95.0,7100000.0,17,1,1
965,Divergent,139,48.0,150830000.0,3,0,0
966,Captain America: The Winter Soldier,136,70.0,259750000.0,7,0,1
967,Django Unchained,165,81.0,162800000.0,27,5,1
968,Percy Jackson: Sea of Monsters,106,39.0,68560000.0,1,0,0
969,End of Watch,109,68.0,40980000.0,1,0,0
970,Resident Evil: Retribution,96,39.0,42350000.0,0,0,0
971,Blade Runner 2049,164,81.0,92040000.0,31,0,1
972,Deepwater Horizon,107,68.0,61280000.0,2,0,1
973,Song of the Sea,93,85.0,850000.0,0,0,1
974,The Sessions,95,79.0,6000000.0,12,2,1
975,The Amazing Spider-Man 2,142,53.0,202850000.0,2,0,0
976,The Judge,141,48.0,47110000.0,4,1,1
977,X-Men: Days of Future Past,132,74.0,233910000.0,8,0,1
978,Spotlight,128,93.0,44990000.0,51,3,1
979,Fast & Furious 6,130,61.0,238670000.0,3,0,0
980,Flight,138,76.0,93750000.0,7,1,1
981,Magic Mike,110,72.0,113710000.0,3,0,0
982,Mud,130,76.0,21590000.0,4,0,0
